Study	Series	Instance	Instance_Number	Pixel_Spacing	Number_of_Frames	Stain	Average_Pixel_Value
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725241339470	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725565901483	6	[0.158633, 0.158154]	1	H&E	246.44608954973117
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725241339470	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725562020481	5	[0.067365, 0.067367]	6	H&E	245.60248311360678
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725241339470	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725560365479	4	[0.016841, 0.016842]	50	H&E	241.96440633138022
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725241339470	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725545372477	3	[0.00421, 0.00421]	722	H&E	227.13876342773438
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725241339470	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725523980475	2	[0.001052, 0.001052]	11174	H&E	205.6543935139974
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725241339470	1.3.6.1.4.1.11129.5.7.1.1.245693442155.90200375.1749725275602473	1	[0.000263, 0.000263]	176386	H&E	248.7476603190104
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725238809516	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725509418529	6	[0.15584, 0.15589]	1	H&E	248.64540578358208
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725238809516	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725503295527	5	[0.067363, 0.067412]	6	H&E	248.8570302327474
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725238809516	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725497719525	4	[0.016841, 0.016839]	50	H&E	249.46128845214844
1.2.840.113713.1.1119.119276.19276865414512	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725238809516	1.3.6.1.4.1.11129.5.7.1.1.422923482742.54645681.1749725496350523	3	[0.00421, 0.00421]	760	H&E	231.41319274902344
